codigo_ibge,nome_municipio
3257,Cidelândia
3307,Codó
3406,Coelho Neto
3505,Colinas
3554,Conceição do Lago-Açu
3604,Coroatá
3703,Cururupu
3752,Davinópolis
3802,Dom Pedro
3901,Duque Bacelar
4008,Esperantinópolis
4057,Estreito
4073,Feira Nova do Maranhão
4081,Fernando Falcão
4099,Formosa da Serra Negra
4107,Fortaleza dos Nogueiras
4206,Fortuna
4305,Godofredo Viana
4404,Gonçalves Dias
4503,Governador Archer
4552,Governador Edison Lobão
4602,Governador Eugênio Barros
4628,Governador Luiz Rocha
4651,Governador Newton Bello
4677,Governador Nunes Freire
4701,Graça Aranha
4800,Grajaú
4909,Guimarães
5005,Humberto de Campos
5104,Icatu
5153,Igarapé do Meio
5203,Igarapé Grande
5302,Imperatriz
5351,Itaipava do Grajaú
5401,Itapecuru Mirim
5427,Itinga do Maranhão
5450,Jatobá
5476,Jenipapo dos Vieiras
5500,João Lisboa
5609,Joselândia
5658,Junco do Maranhão
5708,Lago da Pedra
5807,Lago do Junco
5948,Lago dos Rodrigues
5906,Lago Verde
5922,Lagoa do Mato
5963,Lagoa Grande do Maranhão
5989,Lajeado Novo
6003,Lima Campos
6102,Loreto
6201,Luís Domingues
6300,Magalhães de Almeida
6326,Maracaçumé
6359,Marajá do Sena
6375,Maranhãozinho
6409,Mata Roma
6508,Matinha
6607,Matões
6631,Matões do Norte
6672,Milagres do Maranhão
6706,Mirador
6755,Miranda do Norte
6805,Mirinzal
6904,Monção
7001,Montes Altos
7100,Morros
7209,Nina Rodrigues
7258,Nova Colinas
7308,Nova Iorque
7357,Nova Olinda do Maranhão
7407,Olho d'Água das Cunhãs
7456,Olinda Nova do Maranhão
7506,Paço do Lumiar
7605,Palmeirândia
7704,Paraibano
7803,Parnarama
7902,Passagem Franca
8009,Pastos Bons
8058,Paulino Neves
8108,Paulo Ramos
8207,Pedreiras
8256,Pedro do Rosário
8306,Penalva
8405,Peri Mirim
8454,Peritoró
8504,Pindaré-Mirim
8603,Pinheiro
8702,Pio XII
8801,Pirapemas
8900,Poção de Pedras
9007,Porto Franco
9056,Porto Rico do Maranhão
9106,Presidente Dutra
9205,Presidente Juscelino
9239,Presidente Médici
9270,Presidente Sarney
9304,Presidente Vargas
9403,Primeira Cruz
9452,Raposa
9502,Riachão
9551,Ribamar Fiquene
9601,Rosário
9700,Sambaíba
9759,Santa Filomena do Maranhão
9809,Santa Helena
9908,Santa Inês
10005,Santa Luzia
10039,Santa Luzia do Paruá
10104,Santa Quitéria do Maranhão
10203,Santa Rita
10237,Santana do Maranhão
10278,Santo Amaro do Maranhão
10302,Santo Antônio dos Lopes
10401,São Benedito do Rio Preto
10500,São Bento
10609,São Bernardo
10658,São Domingos do Azeitão
10708,São Domingos do Maranhão
10807,São Félix de Balsas
10856,São Francisco do Brejão
10906,São Francisco do Maranhão
11003,São João Batista
11029,São João do Carú
11052,São João do Paraíso
11078,São João do Soter
11102,São João dos Patos
11201,São José de Ribamar
11250,São José dos Basílios
11300,São Luís
11409,São Luís Gonzaga do Maranhão
11508,São Mateus do Maranhão
11532,São Pedro da Água Branca
11573,São Pedro dos Crentes
11607,São Raimundo das Mangabeiras
11631,São Raimundo do Doca Bezerra
11672,São Roberto
11706,São Vicente Ferrer
11722,Satubinha
11748,Senador Alexandre Costa
11763,Senador La Rocque
11789,Serrano do Maranhão
11805,Sítio Novo
11904,Sucupira do Norte
11953,Sucupira do Riachão
12001,Tasso Fragoso
12100,Timbiras
12209,Timon
12233,Trizidela do Vale
12274,Tufilândia
12308,Tuntum
12407,Turiaçu
12456,Turilândia
12506,Tutóia
12605,Urbano Santos
12704,Vargem Grande
12803,Viana
12852,Vila Nova dos Martírios
12902,Vitória do Mearim
13009,Vitorino Freire
14007,Zé Doca
53,Acauã
103,Agricolândia
202,Água Branca
251,Alagoinha do Piauí
277,Alegrete do Piauí
301,Alto Longá
400,Altos
459,Alvorada do Gurguéia
509,Amarante
608,Angical do Piauí
707,Anísio de Abreu
806,Antônio Almeida
905,Aroazes
954,Aroeiras do Itaim
1002,Arraial
1051,Assunção do Piauí
1101,Avelino Lopes
1150,Baixa Grande do Ribeiro
1176,Barra D'Alcântara
